month,recovery,recovered_accounts,recovery_per_account,targeted_accounts,recovery_per_targeted_account,counterfactual_recovery,incremental_recovery
2026-04,175228930.17,2304,76054.2231640625,5585,31374.920352730525,184405942.01813412,-9177011.84813413
2026-05,184335483.66,2344,78641.417943686,5800,31781.979941379308,191504827.8791724,-7169344.219172418
2026-06,175853449.86,2286,76926.26853018373,5535,31771.1743197832,182755038.32952058,-6901588.469520569
2026-07,187247836.0,2335,80191.79271948608,5666,33047.623720437696,187080405.99368808,167430.00631192327
